Provider,Model,Metric,Score column,N_total,N_eval,Error count,Nonempty pred,Task success rate,AUROC,Average Precision,Spearman,Note,File
claude,claude-sonnet-4-6-thinking,TCUS-proxy,tcus_proxy,300,300,0,300,0.29,0.5689924990556365,0.35167746856906,0.1084483841160081,,results_api_vlm/all_strict300/claude_thinking_claude-sonnet-4-6-thinking_visdrone300.csv
gemini,gemini-2.5-flash-lite,PSNR,psnr,300,300,0,300,0.6133333333333333,0.4773004122938531,0.592250072958519,-0.0384477875121176,,results_api_vlm/all_strict300/gemini_light_gemini-2.5-flash-lite_visdrone300.csv
gemini,gemini-2.5-flash-lite,SSIM,ssim,300,300,0,300,0.6133333333333333,0.4776752248875562,0.5908063982932251,-0.0378129427234758,,results_api_vlm/all_strict300/gemini_light_gemini-2.5-flash-lite_visdrone300.csv
gemini,gemini-2.5-flash-lite,Sharpness,sharpness,300,300,0,300,0.6133333333333333,0.4882402548725637,0.6144461523783329,-0.0198384435678925,,results_api_vlm/all_strict300/gemini_light_gemini-2.5-flash-lite_visdrone300.csv
gemini,gemini-2.5-flash-lite,Brightness-quality,brightness_quality,300,300,0,300,0.6133333333333333,0.4822901049475263,0.6162661158719749,-0.0298762217875035,,results_api_vlm/all_strict300/gemini_light_gemini-2.5-flash-lite_visdrone300.csv
gemini,gemini-2.5-flash-lite,Cognition-Consistency,cognition_consistency_proxy,300,300,0,300,0.6133333333333333,0.6418665667166418,0.6909417356099278,0.36141078101165,,results_api_vlm/all_strict300/gemini_light_gemini-2.5-flash-lite_visdrone300.csv
gemini,gemini-2.5-flash-lite,TCUS-proxy,tcus_proxy,300,300,0,300,0.6133333333333333,0.6157233883058472,0.6742915363284634,0.1952229307278672,,results_api_vlm/all_strict300/gemini_light_gemini-2.5-flash-lite_visdrone300.csv
gemini,gemini-2.5-flash-thinking,PSNR,psnr,300,300,0,291,0.5733333333333334,0.4933684593023255,0.5698245320121285,-0.0114077271586428,,results_api_vlm/all_strict300/gemini_strong_gemini-2.5-flash-thinking_visdrone300.csv
gemini,gemini-2.5-flash-thinking,SSIM,ssim,300,300,0,291,0.5733333333333334,0.4878270348837209,0.5678175800292875,-0.0209402114966869,,results_api_vlm/all_strict300/gemini_strong_gemini-2.5-flash-thinking_visdrone300.csv
gemini,gemini-2.5-flash-thinking,Sharpness,sharpness,300,300,0,291,0.5733333333333334,0.5106286337209301,0.5969265212387109,0.0182103557550913,,results_api_vlm/all_strict300/gemini_strong_gemini-2.5-flash-thinking_visdrone300.csv
gemini,gemini-2.5-flash-thinking,Brightness-quality,brightness_quality,300,300,0,291,0.5733333333333334,0.5143531976744187,0.6032133671964244,0.0245917624726873,,results_api_vlm/all_strict300/gemini_strong_gemini-2.5-flash-thinking_visdrone300.csv
gemini,gemini-2.5-flash-thinking,Cognition-Consistency,cognition_consistency_proxy,300,300,0,291,0.5733333333333334,0.6510719476744186,0.6597520635219534,0.3908734530628881,,results_api_vlm/all_strict300/gemini_strong_gemini-2.5-flash-thinking_visdrone300.csv
gemini,gemini-2.5-flash-thinking,TCUS-proxy,tcus_proxy,300,300,0,291,0.5733333333333334,0.6530704941860466,0.6714903242020802,0.2622602516865712,,results_api_vlm/all_strict300/gemini_strong_gemini-2.5-flash-thinking_visdrone300.csv
gpt,gpt-5,PSNR,psnr,300,300,0,300,0.5033333333333333,0.5060447130983599,0.5095664983379009,0.0105116956608658,,results_api_vlm/all_strict300/gpt_base_gpt-5_visdrone300.csv
gpt,gpt-5,SSIM,ssim,300,300,0,300,0.5033333333333333,0.5023556602515667,0.5084922147522187,0.0040964696325433,,results_api_vlm/all_strict300/gpt_base_gpt-5_visdrone300.csv
gpt,gpt-5,Sharpness,sharpness,300,300,0,300,0.5033333333333333,0.4958887061647183,0.520494949613162,-0.0071208511224144,,results_api_vlm/all_strict300/gpt_base_gpt-5_visdrone300.csv
gpt,gpt-5,Brightness-quality,brightness_quality,300,300,0,300,0.5033333333333333,0.5424241077381218,0.5384692080362675,0.0734794853658878,,results_api_vlm/all_strict300/gpt_base_gpt-5_visdrone300.csv
gpt,gpt-5,Cognition-Consistency,cognition_consistency_proxy,300,300,0,300,0.5033333333333333,0.6367838570603137,0.5837182615223745,0.3577664343390643,,results_api_vlm/all_strict300/gpt_base_gpt-5_visdrone300.csv
gpt,gpt-5,TCUS-proxy,tcus_proxy,300,300,0,300,0.5033333333333333,0.6546957642561892,0.5981634664211828,0.2679364576385256,,results_api_vlm/all_strict300/gpt_base_gpt-5_visdrone300.csv
gpt,gpt-5.5,PSNR,psnr,300,300,0,300,0.51,0.4862167089057845,0.492475441984365,-0.0239647437234321,,results_api_vlm/all_strict300/gpt_latest_gpt-5.5_visdrone300.csv
gpt,gpt-5.5,SSIM,ssim,300,300,0,300,0.51,0.4708327775554666,0.4863322990229641,-0.050712489943779,,results_api_vlm/all_strict300/gpt_latest_gpt-5.5_visdrone300.csv
gpt,gpt-5.5,Sharpness,sharpness,300,300,0,300,0.51,0.4926859632741985,0.5264310773554417,-0.0126658196733132,,results_api_vlm/all_strict300/gpt_latest_gpt-5.5_visdrone300.csv
gpt,gpt-5.5,Brightness-quality,brightness_quality,300,300,0,300,0.51,0.5179849717664844,0.532698108641013,0.0311448270994237,,results_api_vlm/all_strict300/gpt_latest_gpt-5.5_visdrone300.csv
gpt,gpt-5.5,Cognition-Consistency,cognition_consistency_proxy,300,300,0,300,0.51,0.6062647281134677,0.5706531027393424,0.2778923919939423,,results_api_vlm/all_strict300/gpt_latest_gpt-5.5_visdrone300.csv
gpt,gpt-5.5,TCUS-proxy,tcus_proxy,300,300,0,300,0.51,0.6103774843270642,0.5800336731936726,0.1911422330638307,,results_api_vlm/all_strict300/gpt_latest_gpt-5.5_visdrone300.csv
gpt,gpt-5.4-mini,PSNR,psnr,300,300,0,300,0.56,0.5218253968253969,0.5734735169620117,0.037680723515285,,results_api_vlm/all_strict300/gpt_light_gpt-5.4-mini_visdrone300.csv
gpt,gpt-5.4-mini,SSIM,ssim,300,300,0,300,0.56,0.5249368686868687,0.5738631453730356,0.0430525621982492,,results_api_vlm/all_strict300/gpt_light_gpt-5.4-mini_visdrone300.csv
gpt,gpt-5.4-mini,Sharpness,sharpness,300,300,0,300,0.56,0.5060425685425686,0.5832787346194347,0.0103904647410807,,results_api_vlm/all_strict300/gpt_light_gpt-5.4-mini_visdrone300.csv
gpt,gpt-5.4-mini,Brightness-quality,brightness_quality,300,300,0,300,0.56,0.5463113275613276,0.6014723361744979,0.0796343827544022,,results_api_vlm/all_strict300/gpt_light_gpt-5.4-mini_visdrone300.csv
gpt,gpt-5.4-mini,Cognition-Consistency,cognition_consistency_proxy,300,300,0,300,0.56,0.6590909090909091,0.6524465008675535,0.4131141862987021,,results_api_vlm/all_strict300/gpt_light_gpt-5.4-mini_visdrone300.csv
gpt,gpt-5.4-mini,TCUS-proxy,tcus_proxy,300,300,0,300,0.56,0.6743777056277056,0.6674807016246331,0.2998502026399937,,results_api_vlm/all_strict300/gpt_light_gpt-5.4-mini_visdrone300.csv
gpt,gpt-5.1,PSNR,psnr,300,300,0,300,0.5233333333333333,0.5028729232550889,0.5273429085290893,0.0049906526928142,,results_api_vlm/all_strict300/gpt_mid_gpt-5.1_visdrone300.csv
gpt,gpt-5.1,SSIM,ssim,300,300,0,300,0.5233333333333333,0.4883524119192909,0.5223720832444767,-0.0202334213824947,,results_api_vlm/all_strict300/gpt_mid_gpt-5.1_visdrone300.csv
gpt,gpt-5.1,Sharpness,sharpness,300,300,0,300,0.5233333333333333,0.4993096075898623,0.5334729024848537,-0.001194498570356,,results_api_vlm/all_strict300/gpt_mid_gpt-5.1_visdrone300.csv
gpt,gpt-5.1,Brightness-quality,brightness_quality,300,300,0,300,0.5233333333333333,0.5394414502694757,0.5701781014607941,0.0682405473580816,,results_api_vlm/all_strict300/gpt_mid_gpt-5.1_visdrone300.csv
gpt,gpt-5.1,Cognition-Consistency,cognition_consistency_proxy,300,300,0,300,0.5233333333333333,0.6372990067257585,0.6035442722435682,0.3587305630634917,,results_api_vlm/all_strict300/gpt_mid_gpt-5.1_visdrone300.csv
gpt,gpt-5.1,TCUS-proxy,tcus_proxy,300,300,0,300,0.5233333333333333,0.6554273751725981,0.6313989772022545,0.268916307177895,,results_api_vlm/all_strict300/gpt_mid_gpt-5.1_visdrone300.csv
gpt,gpt-5.2,PSNR,psnr,300,300,3,297,0.3533333333333333,0.526356739933865,0.3620915652984451,0.0438188491292628,,results_api_vlm/all_strict300/gpt_mid_gpt-5.2_visdrone300.csv
gpt,gpt-5.2,SSIM,ssim,300,300,3,297,0.3533333333333333,0.5067593853335928,0.3584368110545383,0.0112376753301983,,results_api_vlm/all_strict300/gpt_mid_gpt-5.2_visdrone300.csv
gpt,gpt-5.2,Sharpness,sharpness,300,300,3,297,0.3533333333333333,0.526356739933865,0.3756353982400078,0.0436432687013906,,results_api_vlm/all_strict300/gpt_mid_gpt-5.2_visdrone300.csv
gpt,gpt-5.2,Brightness-quality,brightness_quality,300,300,3,297,0.3533333333333333,0.5744018673409842,0.461030302286758,0.1231996330500512,,results_api_vlm/all_strict300/gpt_mid_gpt-5.2_visdrone300.csv
gpt,gpt-5.2,Cognition-Consistency,cognition_consistency_proxy,300,300,3,297,0.3533333333333333,0.5916650457109511,0.4019417920708884,0.2292137655262403,,results_api_vlm/all_strict300/gpt_mid_gpt-5.2_visdrone300.csv
gpt,gpt-5.2,TCUS-proxy,tcus_proxy,300,300,3,297,0.3533333333333333,0.647442131880957,0.5020210448603397,0.2441446322926505,,results_api_vlm/all_strict300/gpt_mid_gpt-5.2_visdrone300.csv
gpt,gpt-5.4,PSNR,psnr,300,300,0,300,0.5033333333333333,0.4900884483754834,0.4966963199178854,-0.0172360892086256,,results_api_vlm/all_strict300/gpt_strong_gpt-5.4_visdrone300.csv
gpt,gpt-5.4,SSIM,ssim,300,300,0,300,0.5033333333333333,0.4857771456509179,0.4949123611305787,-0.0247334015549784,,results_api_vlm/all_strict300/gpt_strong_gpt-5.4_visdrone300.csv
gpt,gpt-5.4,Sharpness,sharpness,300,300,0,300,0.5033333333333333,0.4884217076314503,0.5124488919335932,-0.0200538564042051,,results_api_vlm/all_strict300/gpt_strong_gpt-5.4_visdrone300.csv
gpt,gpt-5.4,Brightness-quality,brightness_quality,300,300,0,300,0.5033333333333333,0.5360682697008756,0.535443622284669,0.0624710344415065,,results_api_vlm/all_strict300/gpt_strong_gpt-5.4_visdrone300.csv
gpt,gpt-5.4,Cognition-Consistency,cognition_consistency_proxy,300,300,0,300,0.5033333333333333,0.6367838570603137,0.5837182615223745,0.3577664343390643,,results_api_vlm/all_strict300/gpt_strong_gpt-5.4_visdrone300.csv
gpt,gpt-5.4,TCUS-proxy,tcus_proxy,300,300,0,300,0.5033333333333333,0.6507400328903507,0.5949158642800498,0.2610850441261484,,results_api_vlm/all_strict300/gpt_strong_gpt-5.4_visdrone300.csv
grok,grok-3,PSNR,psnr,300,300,0,300,0.4633333333333333,0.4797578086599043,0.4521498726135236,-0.0351069694924917,,results_api_vlm/all_strict300/grok_base_grok-3_visdrone300.csv
grok,grok-3,SSIM,ssim,300,300,0,300,0.4633333333333333,0.4809196121363779,0.4537605461222977,-0.0330919999410462,,results_api_vlm/all_strict300/grok_base_grok-3_visdrone300.csv
grok,grok-3,Sharpness,sharpness,300,300,0,300,0.4633333333333333,0.4939005317485142,0.448114544126139,-0.0105362021449272,,results_api_vlm/all_strict300/grok_base_grok-3_visdrone300.csv
grok,grok-3,Brightness-quality,brightness_quality,300,300,0,300,0.4633333333333333,0.4966263014433174,0.4745008200753742,-0.0058277162047033,,results_api_vlm/all_strict300/grok_base_grok-3_visdrone300.csv
grok,grok-3,Cognition-Consistency,cognition_consistency_proxy,300,300,0,300,0.4633333333333333,0.6301890164886724,0.5396620355537433,0.3396079303795194,,results_api_vlm/all_strict300/grok_base_grok-3_visdrone300.csv
