Provider,Model,Metric,Score column,N_total,N_eval,Error count,Nonempty pred,Task success rate,AUROC,Average Precision,Spearman,Note,File
gpt,gpt-5.4-mini,SSIM,ssim,300,300,0,300,0.56,0.5249368686868687,0.5738631453730356,0.04305256219824923,,results_api_vlm/all_strict300/gpt_light_gpt-5.4-mini_visdrone300.csv
gpt,gpt-5.4-mini,Sharpness,sharpness,300,300,0,300,0.56,0.5060425685425686,0.5832787346194347,0.010390464741080725,,results_api_vlm/all_strict300/gpt_light_gpt-5.4-mini_visdrone300.csv
gpt,gpt-5.4-mini,Brightness-quality,brightness_quality,300,300,0,300,0.56,0.5463113275613276,0.6014723361744979,0.07963438275440227,,results_api_vlm/all_strict300/gpt_light_gpt-5.4-mini_visdrone300.csv
gpt,gpt-5.4-mini,Cognition-Consistency,cognition_consistency_proxy,300,300,0,300,0.56,0.6590909090909091,0.6524465008675535,0.41311418629870217,,results_api_vlm/all_strict300/gpt_light_gpt-5.4-mini_visdrone300.csv
gpt,gpt-5.4-mini,TCUS-proxy,tcus_proxy,300,300,0,300,0.56,0.6743777056277056,0.6674807016246331,0.2998502026399937,,results_api_vlm/all_strict300/gpt_light_gpt-5.4-mini_visdrone300.csv
gpt,gpt-5.1,PSNR,psnr,300,300,0,300,0.5233333333333333,0.5028729232550889,0.5273429085290893,0.0049906526928142035,,results_api_vlm/all_strict300/gpt_mid_gpt-5.1_visdrone300.csv
gpt,gpt-5.1,SSIM,ssim,300,300,0,300,0.5233333333333333,0.4883524119192909,0.5223720832444767,-0.020233421382494794,,results_api_vlm/all_strict300/gpt_mid_gpt-5.1_visdrone300.csv
gpt,gpt-5.1,Sharpness,sharpness,300,300,0,300,0.5233333333333333,0.49930960758986237,0.5334729024848537,-0.0011944985703560317,,results_api_vlm/all_strict300/gpt_mid_gpt-5.1_visdrone300.csv
gpt,gpt-5.1,Brightness-quality,brightness_quality,300,300,0,300,0.5233333333333333,0.5394414502694757,0.5701781014607941,0.06824054735808169,,results_api_vlm/all_strict300/gpt_mid_gpt-5.1_visdrone300.csv
gpt,gpt-5.1,Cognition-Consistency,cognition_consistency_proxy,300,300,0,300,0.5233333333333333,0.6372990067257585,0.6035442722435682,0.3587305630634917,,results_api_vlm/all_strict300/gpt_mid_gpt-5.1_visdrone300.csv
gpt,gpt-5.1,TCUS-proxy,tcus_proxy,300,300,0,300,0.5233333333333333,0.6554273751725981,0.6313989772022545,0.268916307177895,,results_api_vlm/all_strict300/gpt_mid_gpt-5.1_visdrone300.csv
gpt,gpt-5.2,PSNR,psnr,300,300,3,297,0.35333333333333333,0.526356739933865,0.3620915652984451,0.04381884912926281,,results_api_vlm/all_strict300/gpt_mid_gpt-5.2_visdrone300.csv
gpt,gpt-5.2,SSIM,ssim,300,300,3,297,0.35333333333333333,0.5067593853335928,0.3584368110545383,0.011237675330198395,,results_api_vlm/all_strict300/gpt_mid_gpt-5.2_visdrone300.csv
gpt,gpt-5.2,Sharpness,sharpness,300,300,3,297,0.35333333333333333,0.526356739933865,0.37563539824000786,0.043643268701390694,,results_api_vlm/all_strict300/gpt_mid_gpt-5.2_visdrone300.csv
gpt,gpt-5.2,Brightness-quality,brightness_quality,300,300,3,297,0.35333333333333333,0.5744018673409842,0.461030302286758,0.12319963305005122,,results_api_vlm/all_strict300/gpt_mid_gpt-5.2_visdrone300.csv
gpt,gpt-5.2,Cognition-Consistency,cognition_consistency_proxy,300,300,3,297,0.35333333333333333,0.5916650457109511,0.4019417920708884,0.22921376552624032,,results_api_vlm/all_strict300/gpt_mid_gpt-5.2_visdrone300.csv
gpt,gpt-5.2,TCUS-proxy,tcus_proxy,300,300,3,297,0.35333333333333333,0.647442131880957,0.5020210448603397,0.2441446322926505,,results_api_vlm/all_strict300/gpt_mid_gpt-5.2_visdrone300.csv
gpt,gpt-5.4,PSNR,psnr,300,300,0,300,0.5033333333333333,0.49008844837548343,0.49669631991788543,-0.017236089208625623,,results_api_vlm/all_strict300/gpt_strong_gpt-5.4_visdrone300.csv
gpt,gpt-5.4,SSIM,ssim,300,300,0,300,0.5033333333333333,0.4857771456509179,0.49491236113057874,-0.02473340155497847,,results_api_vlm/all_strict300/gpt_strong_gpt-5.4_visdrone300.csv
gpt,gpt-5.4,Sharpness,sharpness,300,300,0,300,0.5033333333333333,0.4884217076314503,0.5124488919335932,-0.020053856404205123,,results_api_vlm/all_strict300/gpt_strong_gpt-5.4_visdrone300.csv
gpt,gpt-5.4,Brightness-quality,brightness_quality,300,300,0,300,0.5033333333333333,0.5360682697008756,0.535443622284669,0.06247103444150655,,results_api_vlm/all_strict300/gpt_strong_gpt-5.4_visdrone300.csv
gpt,gpt-5.4,Cognition-Consistency,cognition_consistency_proxy,300,300,0,300,0.5033333333333333,0.6367838570603137,0.5837182615223745,0.35776643433906435,,results_api_vlm/all_strict300/gpt_strong_gpt-5.4_visdrone300.csv
gpt,gpt-5.4,TCUS-proxy,tcus_proxy,300,300,0,300,0.5033333333333333,0.6507400328903507,0.5949158642800498,0.2610850441261484,,results_api_vlm/all_strict300/gpt_strong_gpt-5.4_visdrone300.csv
grok,grok-3,PSNR,psnr,300,300,0,300,0.4633333333333333,0.47975780865990436,0.4521498726135236,-0.03510696949249172,,results_api_vlm/all_strict300/grok_base_grok-3_visdrone300.csv
grok,grok-3,SSIM,ssim,300,300,0,300,0.4633333333333333,0.4809196121363779,0.45376054612229777,-0.03309199994104628,,results_api_vlm/all_strict300/grok_base_grok-3_visdrone300.csv
grok,grok-3,Sharpness,sharpness,300,300,0,300,0.4633333333333333,0.4939005317485142,0.448114544126139,-0.010536202144927283,,results_api_vlm/all_strict300/grok_base_grok-3_visdrone300.csv
grok,grok-3,Brightness-quality,brightness_quality,300,300,0,300,0.4633333333333333,0.4966263014433174,0.4745008200753742,-0.005827716204703368,,results_api_vlm/all_strict300/grok_base_grok-3_visdrone300.csv
